contrast_id,family,baseline_tag,variant_tag,baseline_label,variant_label,matched_items,flip_count,flip_rate,geometry_flip_rate,abstain_delta,singleton_rate_delta,mean_subset_size_delta,mean_expected_stage_delta
fascism_baseline_source:gpt52_vs_gpt41,cross_model,v4_native_fascism_baseline_source_gpt41,v4_native_fascism_baseline_source_gpt52,gpt41 anchor,gpt52,1440,750,0.5208333333333334,0.3034722222222222,0.0,0.1201388888888889,-0.1611111111111112,-0.34444444444444455
fascism_abstention_source:gpt52_vs_gpt41,cross_model,v4_native_fascism_abstention_source_gpt41,v4_native_fascism_abstention_source_gpt52,gpt41 anchor,gpt52,1440,1002,0.6958333333333333,0.5673611111111111,0.2548611111111111,0.2993865030674847,-0.34478527607361964,-0.28404907975460136
fascism_view_l2_neutralized:gpt52_vs_gpt41,cross_model,v4_native_fascism_view_l2_neutralized_gpt41,v4_native_fascism_view_l2_neutralized_gpt52,gpt41 anchor,gpt52,1440,737,0.5118055555555555,0.2465277777777778,0.0,0.15555555555555556,-0.1972222222222222,-0.21585648148148162
illiberal_democracy_baseline_source:gpt52_vs_gpt41,cross_model,v4_native_illiberal_democracy_baseline_source_gpt41,v4_native_illiberal_democracy_baseline_source_gpt52,gpt41 anchor,gpt52,1440,592,0.4111111111111111,0.17916666666666667,0.0,0.11458333333333337,-0.1694444444444445,-0.3935185185185184
illiberal_democracy_view_l2_neutralized:gpt52_vs_gpt41,cross_model,v4_native_illiberal_democracy_view_l2_neutralized_gpt41,v4_native_illiberal_democracy_view_l2_neutralized_gpt52,gpt41 anchor,gpt52,1440,550,0.3819444444444444,0.19027777777777777,0.0,0.14722222222222225,-0.19930555555555562,-0.2825231481481483
fascism_baseline_source:gpt52chat_vs_gpt41,cross_model,v4_native_fascism_baseline_source_gpt41,v4_native_fascism_baseline_source_gpt52chat,gpt41 anchor,gpt52chat,1440,761,0.5284722222222222,0.27152777777777776,0.0,0.11736111111111114,-0.15694444444444455,-0.18125000000000013
fascism_abstention_source:gpt52chat_vs_gpt41,cross_model,v4_native_fascism_abstention_source_gpt41,v4_native_fascism_abstention_source_gpt52chat,gpt41 anchor,gpt52chat,1440,1000,0.6944444444444444,0.5854166666666667,0.3354166666666667,0.21359223300970875,-0.24965325936199734,-0.012482662968099856
fascism_view_l2_neutralized:gpt52chat_vs_gpt41,cross_model,v4_native_fascism_view_l2_neutralized_gpt41,v4_native_fascism_view_l2_neutralized_gpt52chat,gpt41 anchor,gpt52chat,1440,726,0.5041666666666667,0.2423611111111111,0.0,0.13541666666666663,-0.17361111111111116,-0.14502314814814832
illiberal_democracy_baseline_source:gpt52chat_vs_gpt41,cross_model,v4_native_illiberal_democracy_baseline_source_gpt41,v4_native_illiberal_democracy_baseline_source_gpt52chat,gpt41 anchor,gpt52chat,1440,580,0.4027777777777778,0.18541666666666667,0.0,0.12361111111111112,-0.1708333333333334,-0.34988425925925903
illiberal_democracy_view_l2_neutralized:gpt52chat_vs_gpt41,cross_model,v4_native_illiberal_democracy_view_l2_neutralized_gpt41,v4_native_illiberal_democracy_view_l2_neutralized_gpt52chat,gpt41 anchor,gpt52chat,1440,570,0.3958333333333333,0.18819444444444444,0.0,0.14861111111111114,-0.19999999999999996,-0.32592592592592595
